rule	family	file	channels	shapes	acceptability	channel_owner	levels_in_options	literal_level_suffixes	uses_enum_value	option_classes
code-smell.identical-subexpression	code-smell	Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	code-smell.identical-subexpression	Occurrence	debt	own	-	0	no	IdenticalSubExpressionOptions
code-smell.long-parameter-list	code-smell	Analysis/Evidence/CodeSmell/LongParameterListRule.php	code-smell.long-parameter-list	Magnitude	debt	own	-	0	no	LongParameterListOptions
code-smell.superglobals	code-smell	Analysis/Evidence/CodeSmell/SuperglobalsRule.php	code-smell.superglobals	Occurrence	debt	own	-	0	no	-
code-smell.unreachable-code	code-smell	Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	code-smell.unreachable-code	Magnitude	debt	own	-	0	no	UnreachableCodeOptions
code-smell.unused-private	code-smell	Analysis/Evidence/CodeSmell/UnusedPrivateRule.php	code-smell.unused-private	Magnitude	debt	own	-	0	no	UnusedPrivateOptions
cohesion.lcom	cohesion	Analysis/Evidence/Cohesion/LcomRule.php	cohesion.lcom	Magnitude	debt	own	-	0	no	LcomOptions
complexity.cognitive	complexity	Analysis/Evidence/Complexity/CognitiveComplexityRule.php	complexity.cognitive.callable complexity.cognitive.class	Magnitude	debt	own	Callable Class_	4	no	ClassCognitiveComplexityOptions CognitiveComplexityOptions MethodCognitiveComplexityOptions
complexity.cyclomatic	complexity	Analysis/Evidence/Complexity/ComplexityRule.php	complexity.cyclomatic.callable complexity.cyclomatic.class	Magnitude	debt	own	Callable Class_	4	no	ClassCognitiveComplexityOptions ClassComplexityOptions ClassNpathComplexityOptions CognitiveComplexityOptions ComplexityOptions MethodCognitiveComplexityOptions MethodComplexityOptions MethodNpathComplexityOptions NpathComplexityOptions WmcOptions
complexity.npath	complexity	Analysis/Evidence/Complexity/NpathComplexityRule.php	complexity.npath.callable complexity.npath.class	Magnitude	debt	own	Callable Class_	4	no	ClassNpathComplexityOptions MethodNpathComplexityOptions NpathComplexityOptions
complexity.wmc	complexity	Analysis/Evidence/Complexity/WmcRule.php	complexity.wmc	Magnitude	debt	own	-	0	no	WmcOptions
computed.health	computed/health	Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	health.complexity health.cohesion health.coupling health.typing health.maintainability health.overall PLUS user-defined computed.*	Magnitude	debt	own	Class_ Namespace_ Project	0	no	ComputedMetricRuleOptions
coupling.cbo	coupling	Analysis/Evidence/Coupling/CboRule.php	coupling.cbo.class coupling.cbo.namespace	Magnitude	debt	own	Class_ Namespace_	4	no	CboOptions ClassCboOptions NamespaceCboOptions
coupling.class-rank	coupling	Analysis/Evidence/Coupling/ClassRankRule.php	coupling.class-rank	Occurrence	debt	own	-	0	no	ClassRankOptions
coupling.distance	coupling	Analysis/Evidence/Coupling/DistanceRule.php	coupling.distance	Magnitude	debt	own	-	0	no	DistanceOptions
coupling.instability	coupling	Analysis/Evidence/Coupling/InstabilityRule.php	coupling.instability.class coupling.instability.namespace	Magnitude	debt	own	Class_ Namespace_	4	no	ClassInstabilityOptions InstabilityOptions NamespaceInstabilityOptions
design.data-class	design	Analysis/Evidence/Design/DataClassRule.php	design.data-class	Magnitude	debt	own	-	0	no	DataClassOptions
design.god-class	design	Analysis/Evidence/Design/GodClassRule.php	design.god-class	Magnitude	debt	own	-	0	no	GodClassOptions
design.inheritance	design	Analysis/Evidence/Design/InheritanceRule.php	design.inheritance	Magnitude	debt	own	-	0	no	InheritanceOptions
design.noc	design	Analysis/Evidence/Design/NocRule.php	design.noc	Magnitude	debt	own	-	0	no	NocOptions
design.type-coverage	design	Analysis/Evidence/Design/TypeCoverageRule.php	design.type-coverage.param design.type-coverage.return design.type-coverage.property	Magnitude	debt	own	-	0	no	TypeCoverageOptions
duplication.code-duplication	duplication	Analysis/Evidence/Duplication/CodeDuplicationRule.php	duplication.code-duplication	Magnitude	debt	own	-	0	no	CodeDuplicationOptions
maintainability.index	maintainability	Analysis/Evidence/Maintainability/MaintainabilityRule.php	maintainability.index	Magnitude	debt	own	-	0	no	MaintainabilityOptions
security.command-injection	security	Analysis/Evidence/Security/CommandInjectionRule.php	security.command-injection	Occurrence	debt	own	-	0	no	-
security.hardcoded-credentials	security	Analysis/Evidence/Security/HardcodedCredentialsRule.php	security.hardcoded-credentials	Occurrence	debt	own	-	0	no	HardcodedCredentialsOptions
security.sensitive-parameter	security	Analysis/Evidence/Security/SensitiveParameterRule.php	security.sensitive-parameter	Occurrence	debt	own	-	0	no	SensitiveParameterOptions
security.sql-injection	security	Analysis/Evidence/Security/SqlInjectionRule.php	security.sql-injection	Occurrence	debt	own	-	0	no	-
security.xss	security	Analysis/Evidence/Security/XssRule.php	security.xss	Occurrence	debt	own	-	0	no	-
size.class-count	size	Analysis/Evidence/Size/ClassCountRule.php	size.class-count	Magnitude	debt	own	-	0	no	ClassCountOptions
size.method-count	size	Analysis/Evidence/Size/MethodCountRule.php	size.method-count	Magnitude	debt	own	-	0	no	MethodCountOptions
size.property-count	size	Analysis/Evidence/Size/PropertyCountRule.php	size.property-count	Magnitude	debt	own	-	0	no	PropertyCountOptions
#
# HOW OBTAINED: php-parser over src/ plus ChannelDeclarationReader through reflection, 2026-08-22.
#
# BOUNDARY OF THE SET — read this before trusting a count taken from this file.
# The producer set is the 42 rules the container registers (`bin/qmx rules`
# reports "42 rules available"). This table holds 42 rows. An earlier revision
# held 41: the missing producer was `computed.health` / ComputedMetricRule,
# because the extraction walked `*Rule.php` files under the rule-owning
# capability roots and that rule declares its NAME through
# ComputedMetricChannelFamily::PRODUCER_RULE_NAME rather than a literal. The
# omission mattered: `computed.health` is the single producer the whole level
# argument of R1 rests on, so the enumeration was missing its own witness.
#
# BLIND SPOTS:
#  - `channels` for computed.health is open-ended by construction: six built-in
#    health dimensions plus any `computed.*` a user declares in qmx.yaml. No
#    fixed table can enumerate the second half.
#  - `option_classes` is NOISE for hierarchical rules: the column lists every
#    options class reachable from the rule file, not the ones it owns. Ten
#    entries against complexity.cyclomatic is an artefact of that, not a fact
#    about the rule. Use enumeration-channel-levels.tsv for level facts.
#  - `literal_level_suffixes` counts single-quoted occurrences only; a suffix
#    composed at run time is invisible to it.
